Seq,Symbol
1,TATAMOTORS
2,HEROMOTOCO
3,BAJAJ-AUTO
4,EICHERMOT
5,M&M
6,MARUTI
7,INDUSINDBK
8,SBIN
9,HDFC
10,ICICIBANK
11,HDFCBANK
12,BAJFINANCE
13,AXISBANK
14,KOTAKBANK
15,UPL
16,ASIANPAINT
17,COALINDIA
18,LT
19,GRASIM
20,ULTRACEMCO
21,SHREECEM
22,NTPC
23,POWERGRID
24,ITC
25,BRITANNIA
26,NESTLEIND
27,ZEEL
28,TATASTEEL
29,VEDL
30,HINDALCO
31,JSWSTEEL
32,GAIL
33,ONGC
34,IOC
35,BPCL
36,RELIANCE
37,HINDUNILVR
38,SUNPHARMA
39,CIPLA
40,PFIZER
41,DRREDDY
42,SANOFI
43,TECHM
44,WIPRO
45,HCLTECH
46,INFY
47,TCS
48,BHARTIARTL
49,INFRATEL
50,TITAN
51,ADANIPORTS
